Group Chi p1 p2 Class Size
ON 2 2 31 13 460815505920
ON 3 2 -1 -1 460815505920
ON 3 2 3 2 460815505920
ON 3 2 5 3 460815505920
ON 3 2 7 4 460815505920
ON 3 2 7 5 460815505920
ON 3 2 11 6 460815505920
ON 3 2 19 9 460815505920
ON 3 2 19 10 460815505920
ON 3 2 19 11 460815505920
ON 3 2 31 12 460815505920
ON 3 2 31 13 460815505920
ON 4 2 -1 -1 460815505920
ON 4 2 3 2 460815505920
ON 4 2 5 3 460815505920
ON 4 2 7 4 460815505920
ON 4 2 7 5 460815505920
ON 4 2 11 6 460815505920
ON 4 2 19 9 460815505920
ON 4 2 19 10 460815505920
ON 4 2 19 11 460815505920
ON 4 2 31 12 460815505920
ON 4 2 31 13 460815505920
ON 5 2 -1 -1 460815505920
ON 5 2 3 2 460815505920
ON 5 2 5 3 460815505920
ON 5 2 7 4 460815505920
ON 5 2 7 5 460815505920
ON 5 2 11 6 460815505920
ON 5 2 19 9 460815505920
ON 5 2 19 10 460815505920
ON 5 2 19 11 460815505920
ON 5 2 31 12 460815505920
ON 5 2 31 13 460815505920
ON 6 2 -1 -1 460815505920
ON 6 2 3 2 460815505920
ON 6 2 5 3 460815505920
ON 6 2 7 4 460815505920
ON 6 2 7 5 460815505920
ON 6 2 11 6 460815505920
ON 6 2 19 9 460815505920
ON 6 2 19 10 460815505920
ON 6 2 19 11 460815505920
ON 6 2 31 12 460815505920
ON 6 2 31 13 460815505920
ON 7 2 -1 -1 460815505920
ON 7 2 3 2 460815505920
ON 7 2 5 3 460815505920
ON 7 2 7 4 460815505920
ON 7 2 7 5 460815505920
ON 7 2 11 6 460815505920
ON 7 2 19 9 460815505920
ON 7 2 19 10 460815505920
ON 7 2 19 11 460815505920
ON 7 2 31 12 460815505920
ON 7 2 31 13 460815505920
ON 8 2 -1 -1 460815505920
ON 8 2 3 2 460815505920
ON 8 2 5 3 460815505920
ON 8 2 7 4 460815505920
ON 8 2 7 5 460815505920
ON 8 2 11 6 460815505920
ON 8 2 19 9 460815505920
ON 8 2 19 10 460815505920
ON 8 2 19 11 460815505920
ON 8 2 31 12 460815505920
ON 8 2 31 13 460815505920
ON 9 2 -1 -1 460815505920
ON 9 2 3 2 460815505920
ON 9 2 5 3 460815505920
ON 9 2 7 4 460815505920
ON 9 2 7 5 460815505920
ON 9 2 11 6 460815505920
ON 9 2 19 9 460815505920
ON 9 2 19 10 460815505920
ON 9 2 19 11 460815505920
ON 9 2 31 12 460815505920
ON 9 2 31 13 460815505920
ON 10 2 -1 -1 460815505920
ON 10 2 3 2 460815505920
ON 10 2 5 3 460815505920
ON 10 2 7 4 460815505920
ON 10 2 7 5 460815505920
ON 10 2 11 6 460815505920
ON 10 2 19 9 460815505920
ON 10 2 19 10 460815505920
ON 10 2 19 11 460815505920
ON 10 2 31 12 460815505920
ON 10 2 31 13 460815505920
ON 11 2 -1 -1 460815505920
ON 11 2 3 2 460815505920
ON 11 2 5 3 460815505920
ON 11 2 7 4 460815505920
ON 11 2 7 5 460815505920
ON 11 2 11 6 460815505920
ON 11 2 19 9 460815505920
ON 11 2 19 10 460815505920
ON 11 2 19 11 460815505920
ON 11 2 31 12 460815505920
ON 11 2 31 13 460815505920
ON 12 2 -1 -1 460815505920
ON 12 2 3 2 460815505920
ON 12 2 5 3 460815505920
ON 12 2 7 4 460815505920
ON 12 2 7 5 460815505920
ON 12 2 11 6 460815505920
ON 12 2 19 9 460815505920
ON 12 2 19 10 460815505920
ON 12 2 19 11 460815505920
ON 12 2 31 12 460815505920
ON 12 2 31 13 460815505920
ON 13 2 -1 -1 460815505920
ON 13 2 3 2 460815505920
ON 13 2 5 3 460815505920
ON 13 2 7 4 460815505920
ON 13 2 7 5 460815505920
ON 13 2 11 6 460815505920
ON 13 2 19 9 460815505920
ON 13 2 19 10 460815505920
ON 13 2 19 11 460815505920
ON 13 2 31 12 460815505920
ON 13 2 31 13 460815505920
ON 2 3 -1 -1 460815505920
ON 2 3 2 2 460815505920
ON 2 3 5 5 460815505920
ON 2 3 7 6 460815505920
ON 2 3 7 7 460815505920
ON 2 3 11 11 460815505920
ON 2 3 19 17 460815505920
ON 2 3 19 18 460815505920
ON 2 3 19 19 460815505920
ON 2 3 31 24 460815505920
ON 2 3 31 25 460815505920
ON 3 3 -1 -1 460815505920
ON 3 3 2 2 460815505920
ON 3 3 5 5 460815505920
ON 3 3 7 6 460815505920
ON 3 3 7 7 460815505920
ON 3 3 11 11 460815505920
ON 3 3 19 17 460815505920
ON 3 3 19 18 460815505920
ON 3 3 19 19 460815505920
ON 3 3 31 24 460815505920
ON 3 3 31 25 460815505920
ON 4 3 -1 -1 460815505920
ON 4 3 2 2 460815505920
ON 4 3 5 5 460815505920
ON 4 3 7 6 460815505920
ON 4 3 7 7 460815505920
ON 4 3 11 11 460815505920
ON 4 3 19 17 460815505920
ON 4 3 19 18 460815505920
ON 4 3 19 19 460815505920
ON 4 3 31 24 460815505920
ON 4 3 31 25 460815505920
ON 5 3 -1 -1 460815505920
ON 5 3 2 2 460815505920
ON 5 3 5 5 460815505920
