Group Chi p1 p2 Class Size
M22.2 13 5 2 2 887040
M22.2 13 5 3 3 887040
M22.2 13 5 7 7 887040
M22.2 13 5 7 8 887040
M22.2 13 5 11 10 887040
M22.2 13 5 2 11 887040
M22.2 13 5 2 12 887040
M22.2 14 5 -1 -1 887040
M22.2 14 5 2 2 887040
M22.2 14 5 3 3 887040
M22.2 14 5 7 7 887040
M22.2 14 5 7 8 887040
M22.2 14 5 11 10 887040
M22.2 14 5 2 11 887040
M22.2 14 5 2 12 887040
M22.2 15 5 -1 -1 887040
M22.2 15 5 2 2 887040
M22.2 15 5 3 3 887040
M22.2 15 5 7 7 887040
M22.2 15 5 7 8 887040
M22.2 15 5 11 10 887040
M22.2 15 5 2 11 887040
M22.2 15 5 2 12 887040
M22.2 16 5 -1 -1 887040
M22.2 16 5 2 2 887040
M22.2 16 5 3 3 887040
M22.2 16 5 7 7 887040
M22.2 16 5 7 8 887040
M22.2 16 5 11 10 887040
M22.2 16 5 2 11 887040
M22.2 16 5 2 12 887040
M22.2 17 5 -1 -1 887040
M22.2 17 5 2 2 887040
M22.2 17 5 3 3 887040
M22.2 17 5 7 7 887040
M22.2 17 5 7 8 887040
M22.2 17 5 11 10 887040
M22.2 17 5 2 11 887040
M22.2 17 5 2 12 887040
M22.2 18 5 -1 -1 887040
M22.2 18 5 2 2 887040
M22.2 18 5 3 3 887040
M22.2 18 5 7 7 887040
M22.2 18 5 7 8 887040
M22.2 18 5 11 10 887040
M22.2 18 5 2 11 887040
M22.2 18 5 2 12 887040
M22.2 19 5 -1 -1 887040
M22.2 19 5 2 2 887040
M22.2 19 5 3 3 887040
M22.2 19 5 7 7 887040
M22.2 19 5 7 8 887040
M22.2 19 5 11 10 887040
M22.2 19 5 2 11 887040
M22.2 19 5 2 12 887040
M22.2 3 7 -1 -1 887040
M22.2 3 7 2 2 887040
M22.2 3 7 3 3 887040
M22.2 3 7 5 6 887040
M22.2 3 7 11 9 887040
M22.2 3 7 2 10 887040
M22.2 3 7 2 11 887040
M22.2 4 7 -1 -1 887040
M22.2 4 7 2 2 887040
M22.2 4 7 3 3 887040
M22.2 4 7 5 6 887040
M22.2 4 7 11 9 887040
M22.2 4 7 2 10 887040
M22.2 4 7 2 11 887040
M22.2 5 7 -1 -1 887040
M22.2 5 7 2 2 887040
M22.2 5 7 3 3 887040
M22.2 5 7 5 6 887040
M22.2 5 7 11 9 887040
M22.2 5 7 2 10 887040
M22.2 5 7 2 11 887040
M22.2 6 7 -1 -1 887040
M22.2 6 7 2 2 887040
M22.2 6 7 3 3 887040
M22.2 6 7 5 6 887040
M22.2 6 7 11 9 887040
M22.2 6 7 2 10 887040
M22.2 6 7 2 11 887040
M22.2 7 7 -1 -1 887040
M22.2 7 7 2 2 887040
M22.2 7 7 3 3 887040
M22.2 7 7 5 6 887040
M22.2 7 7 11 9 887040
M22.2 7 7 2 10 887040
M22.2 7 7 2 11 887040
M22.2 8 7 -1 -1 887040
M22.2 8 7 2 2 887040
M22.2 8 7 3 3 887040
M22.2 8 7 5 6 887040
M22.2 8 7 11 9 887040
M22.2 8 7 2 10 887040
M22.2 8 7 2 11 887040
M22.2 9 7 -1 -1 887040
M22.2 9 7 2 2 887040
M22.2 9 7 3 3 887040
M22.2 9 7 5 6 887040
M22.2 9 7 11 9 887040
M22.2 9 7 2 10 887040
M22.2 9 7 2 11 887040
M22.2 10 7 -1 -1 887040
M22.2 10 7 2 2 887040
M22.2 10 7 3 3 887040
M22.2 10 7 5 6 887040
M22.2 10 7 11 9 887040
M22.2 10 7 2 10 887040
M22.2 10 7 2 11 887040
M22.2 11 7 -1 -1 887040
M22.2 11 7 2 2 887040
M22.2 11 7 3 3 887040
M22.2 11 7 5 6 887040
M22.2 11 7 11 9 887040
M22.2 11 7 2 10 887040
M22.2 11 7 2 11 887040
M22.2 12 7 -1 -1 887040
M22.2 12 7 2 2 887040
M22.2 12 7 3 3 887040
M22.2 12 7 5 6 887040
M22.2 12 7 11 9 887040
M22.2 12 7 2 10 887040
M22.2 12 7 2 11 887040
M22.2 13 7 -1 -1 887040
M22.2 13 7 2 2 887040
M22.2 13 7 3 3 887040
M22.2 13 7 5 6 887040
M22.2 13 7 11 9 887040
M22.2 13 7 2 10 887040
M22.2 13 7 2 11 887040
M22.2 14 7 -1 -1 887040
M22.2 14 7 2 2 887040
M22.2 14 7 3 3 887040
M22.2 14 7 5 6 887040
M22.2 14 7 11 9 887040
M22.2 14 7 2 10 887040
M22.2 14 7 2 11 887040
M22.2 15 7 -1 -1 887040
M22.2 15 7 2 2 887040
M22.2 15 7 3 3 887040
M22.2 15 7 5 6 887040
M22.2 15 7 11 9 887040
M22.2 15 7 2 10 887040
M22.2 15 7 2 11 887040
M22.2 16 7 -1 -1 887040
M22.2 16 7 2 2 887040
M22.2 16 7 3 3 887040
M22.2 16 7 5 6 887040
M22.2 16 7 11 9 887040
M22.2 16 7 2 10 887040
M22.2 16 7 2 11 887040
